'SysDStat_1','CalTotalWage','SysIStat_1',1
'SysDStat_2','AllocatedMVC','SysIStat_1',2
'SysDStat_3','AllocatedNWC','SysIStat_1',3
'SysDStat_4','CalOTAmount','SysIStat_1',4
'SysDStat_5','CalOTBackPay','SysIStat_1',5
'SysDStat_6','CalShiftAmount','SysIStat_1',6
'SysDStat_7','CalLveDeductAmt','SysIStat_1',7
'SysDStat_8','CalBackPay','SysIStat_1',8
'SysDStat_9','FAllowanceAmount','SysIStat_2',1
'SysDStat_10','FDeductionAmount','SysIStat_3',1
'SysDStat_11','FReimbursementAmount','SysIStat_4',1
'SysDStat_12','CalTotalGrossWage','SysIStat_5',1
'SysDStat_13','CalGrossWage','SysIStat_5',2
'SysDStat_14','EmpeeEPFManWage','SysIStat_5',3
'SysDStat_15','EmpeeEPFVolWage','SysIStat_5',4
'SysDStat_16','SocsoWage','SysIStat_5',5
'SysDStat_17','TotalCurTaxWage','SysIStat_5',6
'SysDStat_18','TotalPrevTaxWage','SysIStat_5',7
'SysDStat_19','EmpeeEPFManSub','SysIStat_5',8
'SysDStat_20','EmpeeEPFVolSub','SysIStat_5',9
'SysDStat_21','TotalEmpeeSocso','SysIStat_5',10
'SysDStat_22','TotalCurTaxAmt','SysIStat_5',11
'SysDStat_23','TotalPrevTaxAmt','SysIStat_5',12
'SysDStat_24','CalNetWage','SysIStat_5',13
'SysDStat_25','EmperEPFManWage','SysIStat_5',14
'SysDStat_26','EmperEPFVolWage','SysIStat_5',15
'SysDStat_27','EmperEPFManSub','SysIStat_5',16
'SysDStat_28','EmperEPFVolSub','SysIStat_5',17
'SysDStat_29','TotalEPF','SysIStat_5',18
'SysDStat_30','TotalEmperSocso','SysIStat_5',19
'SysDStat_31','TotalSocso','SysIStat_5',20
'SysDStat_32','TotalZakat','SysIStat_5',21
'SysDStat_33','HRDLevy','SysIStat_5',22
'SysDStat_34','HRDWage','SysIStat_5',23
'SysDStat_35','TotalWP39Amt','SysIStat_6',1
'SysDStat_36','TotalCP38Amt','SysIStat_6',2
'SysDStat_37','TotalTaxAmt','SysIStat_6',3
'SysDStat_38','TaxCategory','SysIStat_6',4
'SysDStat_39','TaxEPFRelief','SysIStat_6',5
'SysDStat_40','TaxChildRelief','SysIStat_6',6
'SysDStat_41','TaxZakatRelief','SysIStat_6',7
'SysDStat_42','TaxBenefit','SysIStat_6',8
'SysDStat_43','NPLDaysTaken','SysIStat_7',1
'SysDStat_44','NPLHours','SysIStat_7',2
'SysDStat_45','AbsDaysTaken','SysIStat_7',3
'SysDStat_46','LateHours','SysIStat_7',4
'SysDStat_47','FreeNumeric1','SysIStat_7',5
