'Employee','EmpDet_Emp','Employee','Employee','','','',''
'Employee','PersonDet_ResStatus','Employee','Employee','','','',''
'Employee','EmpDet_Misc','Employee','Employee','','','',''
'Employee','PersonDet_Details','Personal','LEFT OUTER JOIN Personal','','','',''
'Employee','PersonDet_MailAdd','PersonalAddress','LEFT OUTER JOIN PersonalAddress ON(Personal.PersonalSysId=PersonalAddress.PersonalSysId AND PersonalAddMailing=1)','','','',''
'Employee','PersonDet_eContact','PersonalContact','LEFT OUTER JOIN PersonalContact ON(Personal.PersonalSysId=PersonalContact.PersonalSysId AND PersonalContact.ContactLocationId=''ePortal'')','','','',''
'Employee','PersonDet_eEmail','PersonalEmail','LEFT OUTER JOIN PersonalEmail ON(Personal.PersonalSysId=PersonalEmail.PersonalSysId AND PersonalEmail.ContactLocationId=''ePortal'')','','','',''
'Employee','PayDet_Std','PayEmployee','LEFT OUTER JOIN PayEmployee','','','',''
'Employee','EmpDet_Emp','PayEmployee','LEFT OUTER JOIN PayEmployee','','','',''
'Employee','EmpDet_Emp','PayEmployeePolicy','LEFT OUTER JOIN PayEmployeePolicy','','','',''
'Employee','PayDet_PayCal','PayEmployee','LEFT OUTER JOIN PayEmployee','','','',''
'Employee','PayDet_PayCal','EmpeeWkCalen','LEFT OUTER JOIN EmpeeWkCalen','','','',''
'Employee','EmpDet_BankAlloc1','Bank1','LEFT OUTER JOIN PaymentBankInfo AS Bank1 ON (Bank1.EmployeeSysId =Employee.EmployeeSysId',' AND Bank1.PayBankSGSPGenId IN (SELECT MIN(PayBankSGSPGenId) FROM  PaymentBankInfo GROUP BY EmployeeSysId))','','',''
'Employee','EmpDet_BankAlloc2','Bank2','LEFT OUTER JOIN PaymentBankInfo as Bank2  ON (Bank2.EmployeeSysId=Employee.EmployeeSysId','AND Bank2.PayBankSGSPGenId IN (SELECT MIN(PayBankSGSPGenId) FROM PaymentBankInfo ','WHERE PayBankSGSPGenId  NOT IN (SELECT MIN(PayBankSGSPGenId) FROM  PaymentBankInfo GROUP BY EmployeeSysId) GROUP BY EmployeeSysId))','',''
'Employee','PayDet_PoCurCPFProg','CPFProgression','LEFT OUTER JOIN CPFProgression ON (CPFProgression.EmployeeSysId=Employee.EmployeeSysId AND CPFProgCurrent=1)','','','',''
'Employee','PayDet_PoCurEPProg','EmployPassProgression','LEFT OUTER JOIN EmployPassProgression ON (EmployPassProgression.EmployeeSysId=Employee.EmployeeSysId AND EPCurrent=1)','','','',''
'Employee','PayDet_PoCurFWLProg','FWLProgression','LEFT OUTER JOIN FWLProgression ON (FWLProgression.EmployeeSysId=Employee.EmployeeSysId AND FWLCurrent=1)','','','',''
'Pay Period Summary','PayPd_EmpeePayInfo','PayPeriodRecord','PayPeriodRecord','','','',''
'Pay Period Summary','PayPd_PdSumm','PayPeriodRecord','PayPeriodRecord','','','',''
'Pay Period Summary','PayPd_Bal','PayPeriodRecord','PayPeriodRecord','','','',''
'Pay Period Summary','EmpDet_Emp','Employee','LEFT OUTER JOIN Employee ON PayPeriodRecord.EmployeeSysId=Employee.EmployeeSysId','','','',''
'Pay Period Summary','PayDet_Std','PayEmployee','LEFT OUTER JOIN PayEmployee','','','',''
'Pay Period Summary','EmpDet_Emp','PayEmployee','LEFT OUTER JOIN PayEmployee','','','',''
'Pay Period Summary','PayPd_ContriTax','PeriodPolicySummary','LEFT OUTER JOIN PeriodPolicySummary','','','',''
'Leave Year Summary','Lve Summ_PoHistPd12','LeaveCycleRpt','LeaveCycleRpt','','','',''
'Leave Year Summary','LveSumm_YrSumm','LeaveCycleRpt','LeaveCycleRpt','','','',''
'Leave Year Summary','LveSumm_YrSumm','Employee','LEFT OUTER JOIN Employee ON (LeaveCycleRpt.EmployeeSysId=Employee .EmployeeSysId)','','','',''
'Leave Year Summary','Lve Summ_PoHistPd12','LvePeriodBalRpt','LEFT OUTER JOIN LvePeriodBalRpt ON (LeaveCycleRpt.EmployeeSysId=LvePeriodBalRpt.EmployeeSysId AND LeaveCycleRpt.LveYearRpt = LvePeriodBalRpt.LveYearRpt AND LeaveCycleRpt.LeaveTypeId = LvePeriodBalRpt.LeaveTypeId AND LvePeriodBalRpt.LvePeriodRpt = 12)','','','',''
'Leave Year Summary','Lve Summ_PoHistPd12','Employee','LEFT OUTER JOIN Employee ON (LeaveCycleRpt.EmployeeSysId=Employee .EmployeeSysId)','','','',''
'Leave Period Summary','LveSumm_PoHist','LvePeriodBalRpt','LvePeriodBalRpt','','','',''
'Leave Period Summary','LveSumm_PdSumm','LvePeriodBalRpt','LvePeriodBalRpt','','','',''
'Leave Period Summary','LveSumm_PdSumm','Employee','LEFT OUTER JOIN Employee ON (LvePeriodBalRpt.EmployeeSysId=Employee.EmployeeSysId)','','','',''
'Leave Period Summary','LveSumm_PoHist','Employee','LEFT OUTER JOIN Employee ON (LvePeriodBalRpt.EmployeeSysId=Employee.EmployeeSysId)','','','',''
